Regions/Towns,Regions/Towns,,Regions/Suburbs and Pcodes,Regions/Suburbs and Pcodes,Regions/Suburbs and Pcodes,,Regions/LGA,Regions/LGA,Regions/LGA,,Regions/2016 ABS Bdy,Regions/2016 ABS Bdy,Regions/2016 ABS Bdy,Regions/2016 ABS Bdy,Regions/2016 ABS Bdy,Regions/2016 ABS Bdy,Regions/2016 ABS Bdy,Regions/2016 ABS Bdy,Regions/2016 ABS Bdy,Regions/2016 ABS Bdy,,Regions/2011 ABS Bdy,Regions/2011 ABS Bdy,Regions/2011 ABS Bdy,Regions/2011 ABS Bdy,Regions/2011 ABS Bdy,Regions/2011 ABS Bdy,Regions/2011 ABS Bdy,,Regions/2006 ABS Bdy,Regions/2006 ABS Bdy,Regions/2006 ABS Bdy,Regions/2006 ABS Bdy,,Regions/2001 ABS Bdy,Regions/2001 ABS Bdy,Regions/2001 ABS Bdy,Regions/2001 ABS Bdy
SA Government Region,Town,,SA Government Region,Suburb,Postcode,,SA Government Region,Short LGA name,Full LGA name,,SA Government Region,GCC name 2016,GCC code 2016,SA4 name 2016,SA4 code 2016,SA3 name 2016,SA3 Code 2016,SA2 name 2016,SA2 code 2016,SA1 code 2016,,SA Government Region,SA4 code 2011,SA3 name 2011,SA3 Code 2011,SA2 name 2011,SA2 code 2011,SA1 code 2011,,SA Government Region,Statistical Local Area - name,Statistical Local Area - code,CD code,,SA Government Region,Statistical Local Area - name,Statistical Local Area - code,CD code
Adelaide Hills,Forreston,,Adelaide Hills,BUGLE RANGES,5251,,Eastern Adelaide,Prospect,The City of Prospect,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100311,,Adelaide Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100311,,Adelaide Hills,Adelaide Hills (DC) - North,410150125,4060111,,Adelaide Hills,Adelaide Hills (DC) - North,410150125,4060111
Adelaide Hills,Gumeracha,,Adelaide Hills,BULL CREEK,5157,,Eastern Adelaide,Unley,City of Unley,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100312,,Adelaide Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100312,,Adelaide Hills,Adelaide Hills (DC) - North,410150125,4060112,,Adelaide Hills,Adelaide Hills (DC) - North,410150125,4060112
Adelaide Hills,Hahndorf,,Adelaide Hills,CAREY GULLY,5144,,Eastern Adelaide,Walkerville,The Corporation of the Town of Walkerville,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100313,,Adelaide Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100313,,Adelaide Hills,Adelaide Hills (DC) - North,410150125,4060113,,Adelaide Hills,Adelaide Hills (DC) - North,410150125,4060113
Adelaide Hills,Harrogate,,Adelaide Hills,CASTAMBUL,5076,,Eyre and Western,Ceduna,The District Council of Ceduna,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100314,,Adelaide Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100314,,Adelaide Hills,Adelaide Hills (DC) - North,410150125,4060114,,Adelaide Hills,Adelaide Hills (DC) - North,410150125,4060114
Adelaide Hills,Houghton,,Adelaide Hills,CHAIN OF PONDS,5231,,Eyre and Western,Cleve,The District Council of Cleve,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100315,,Adelaide Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100315,,Adelaide Hills,Adelaide Hills (DC) - North,410150125,4060115,,Adelaide Hills,Adelaide Hills (DC) - North,410150125,4060115
Adelaide Hills,Inglewood,,Adelaide Hills,CHAPEL HILL,5153,,Eyre and Western,Elliston,The District Council of Elliston,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100316,,Adelaide Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100316,,Adelaide Hills,Adelaide Hills (DC) - North,410150125,4060116,,Adelaide Hills,Adelaide Hills (DC) - North,410150125,4060116
Adelaide Hills,Inverbrackie,,Adelaide Hills,CHARLESTON,5244,,Eyre and Western,Franklin Harbour,The District Council of Franklin Harbour,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100317,,Adelaide Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100317,,Adelaide Hills,Adelaide Hills (DC) - North,410150125,4060117,,Adelaide Hills,Adelaide Hills (DC) Bal,410150128,4060201
Adelaide Hills,Kanmantoo,,Adelaide Hills,CHERRYVILLE,5134,,Eyre and Western,Kimba,The District Council of Kimba,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100318,,Adelaide Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100318,,Adelaide Hills,Adelaide Hills (DC) Bal,410150128,4060201,,Adelaide Hills,Adelaide Hills (DC) Bal,410150128,4060202
Adelaide Hills,Kersbrook,,Adelaide Hills,CLELAND,5152,,Eyre and Western,Lower Eyre Peninsula,The District Council of Lower Eyre Peninsula,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100319,,Adelaide Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100319,,Adelaide Hills,Adelaide Hills (DC) Bal,410150128,4060202,,Adelaide Hills,Adelaide Hills (DC) Bal,410150128,4060203
Adelaide Hills,Littlehampton,,Adelaide Hills,CRAFERS,5152,,Eyre and Western,Port Lincoln,City of Port Lincoln,,Adelaide Hills,Greater Adelaide,4GADE,Adelaide - Central and Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100320,,Adelaide Hills,401,Adelaide Hills,40102,Adelaide Hills,401021003,40102100320,,Adelaide Hills,Adelaide Hills (DC) Bal,410150128,4060203,,Adelaide Hills,Adelaide Hills (DC) Bal,410150128,4060204
