id,region,total
1,LimestoneCoast,68084
2,MurrayandMallee,94281
3,EasternAdelaide,92517
4,AdelaideHills,35552
5,SouthernAdelaide,138599
6,WesternAdelaide,88161
7,EyreandWestern,46019
8,YorkeandMidNorth,73673
9,Barossa,64969
10,FleurieuandKangarooIsland,60580
11,NorthernAdelaide,159452
12,FarNorth,28198
