id,region,total
1,Limestone Coast,180000
2,Murray and Mallee,221055.64
3,Eastern Adelaide,271984.34
4,Adelaide Hills,81819.21
5,Southern Adelaide,388045.67
6,Western Adelaide,437831.67
7,Eyre and Western,254281.80
8,Yorke and Mid North,188849.05
9,Barossa,57724.43
10,Fleurieu and Kangaroo Island,186962.83
11,Northern Adelaide,521256.34
12,Far North,174128.76
